"","TP_SEXO","ST_CONCLUSAO","TP_ESCOLA","IN_TP_ENSINO","TP_COR_RACA","IN_BAIXA_VISAO","IN_CEGUEIRA","IN_SURDEZ","IN_DEFICIENCIA_AUDITIVA","IN_SURDO_CEGUEIRA","IN_DEFICIENCIA_FISICA","IN_DEFICIENCIA_MENTAL","IN_DEFICIT_ATENCAO","IN_DISLEXIA","IN_AUTISMO","ID_DEPENDENCIA_ADM","ID_LOCALIZACAO","NU_NOTA_REDACAO"
"1",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.522727272727273
"3",1,1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.522727272727273
"4",0,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.522727272727273
"5",1,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.659090909090909
"6",1,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.363636363636364
"8",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.522727272727273
"9",0,0,0,0.333333333333333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.613636363636364
"11",1,0.666666666666667,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727272727
"12",0,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.477272727272727
"14",1,0.333333333333333,0.5,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.613636363636364
"15",1,0,0,0.666666666666667,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.568181818181818
"16",1,0,0,0.666666666666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1,0,0,0.333333333333333,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.681818181818182
"18",1,0,0,0.333333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.431818181818182
